Source_Offset,Target_Offset,Source_Type,Target_Type
$000000,$004cf7,graphics_or_audio,compressed_or_random
$000000,$004ccc,graphics_or_audio,compressed_or_random
$000000,$0fcccc,graphics_or_audio,compressed_or_random
$000000,$004cf7,graphics_or_audio,compressed_or_random
$000000,$004ccc,graphics_or_audio,compressed_or_random
$000000,$0bcccc,graphics_or_audio,graphics_or_audio
$000000,$004cf7,graphics_or_audio,compressed_or_random
$000000,$004ccc,graphics_or_audio,compressed_or_random
$000000,$0bcccc,graphics_or_audio,graphics_or_audio
$000000,$004cf7,graphics_or_audio,compressed_or_random
$000400,$003012,compressed_or_random,compressed_or_random
$000400,$32b012,compressed_or_random,graphics_or_audio
$000400,$0049ac,compressed_or_random,compressed_or_random
$000400,$1749ac,compressed_or_random,graphics_or_audio
$000400,$00492e,compressed_or_random,compressed_or_random
$000400,$0040c9,compressed_or_random,compressed_or_random
$000400,$1740c9,compressed_or_random,graphics_or_audio
$000400,$00492e,compressed_or_random,compressed_or_random
$000400,$001c66,compressed_or_random,compressed_or_random
$000400,$0049ac,compressed_or_random,compressed_or_random
$000800,$002d20,graphics_or_audio,compressed_or_random
$000800,$006a9d,graphics_or_audio,compressed_or_random
$000800,$186a9d,graphics_or_audio,graphics_or_audio
$000800,$0045ad,graphics_or_audio,compressed_or_random
$000800,$000fea,graphics_or_audio,graphics_or_audio
$000800,$010fea,graphics_or_audio,graphics_or_audio
$000800,$002900,graphics_or_audio,compressed_or_random
$000800,$0027ad,graphics_or_audio,compressed_or_random
$000800,$000fea,graphics_or_audio,graphics_or_audio
$000800,$0b0fea,graphics_or_audio,graphics_or_audio
$000c00,$004934,graphics_or_audio,compressed_or_random
$000c00,$0c4934,graphics_or_audio,graphics_or_audio
$000c00,$001018,graphics_or_audio,compressed_or_random
$000c00,$071018,graphics_or_audio,structured_data
$000c00,$00420e,graphics_or_audio,compressed_or_random
$000c00,$10420e,graphics_or_audio,graphics_or_audio
$000c00,$002920,graphics_or_audio,compressed_or_random
$000c00,$006cc6,graphics_or_audio,compressed_or_random
$000c00,$000008,graphics_or_audio,graphics_or_audio
$000c00,$060008,graphics_or_audio,compressed_or_random
$001000,$001d55,compressed_or_random,compressed_or_random
$001000,$0f9d55,compressed_or_random,graphics_or_audio
$001000,$005d1f,compressed_or_random,compressed_or_random
$001000,$004aca,compressed_or_random,compressed_or_random
$001000,$084aca,compressed_or_random,compressed_or_random
$001000,$007910,compressed_or_random,compressed_or_random
$001000,$0042ab,compressed_or_random,compressed_or_random
$001000,$1842ab,compressed_or_random,graphics_or_audio
$001000,$004208,compressed_or_random,compressed_or_random
$001000,$184208,compressed_or_random,graphics_or_audio
$001400,$005a48,compressed_or_random,graphics_or_audio
$001400,$2d5a48,compressed_or_random,compressed_or_random
$001400,$000b5a,compressed_or_random,graphics_or_audio
$001400,$3c0b5a,compressed_or_random,graphics_or_audio
$001400,$003578,compressed_or_random,graphics_or_audio
$001400,$003578,compressed_or_random,graphics_or_audio
$001400,$000500,compressed_or_random,compressed_or_random
$001400,$180500,compressed_or_random,graphics_or_audio
$001400,$007002,compressed_or_random,graphics_or_audio
$001400,$1bf002,compressed_or_random,graphics_or_audio
$001800,$000000,graphics_or_audio,graphics_or_audio
$001800,$090000,graphics_or_audio,graphics_or_audio
$001800,$001200,graphics_or_audio,compressed_or_random
$001800,$0b9200,graphics_or_audio,compressed_or_random
$001800,$000800,graphics_or_audio,graphics_or_audio
$001800,$2c0800,graphics_or_audio,compressed_or_random
$001800,$000192,graphics_or_audio,graphics_or_audio
$001800,$000192,graphics_or_audio,graphics_or_audio
$001800,$000704,graphics_or_audio,compressed_or_random
$001800,$000704,graphics_or_audio,compressed_or_random
$001c00,$000768,compressed_or_random,compressed_or_random
$001c00,$090768,compressed_or_random,graphics_or_audio
$001c00,$001840,compressed_or_random,graphics_or_audio
$001c00,$129840,compressed_or_random,graphics_or_audio
$001c00,$000592,compressed_or_random,compressed_or_random
$001c00,$388592,compressed_or_random,compressed_or_random
$001c00,$001664,compressed_or_random,compressed_or_random
$001c00,$000416,compressed_or_random,compressed_or_random
$001c00,$180416,compressed_or_random,graphics_or_audio
$001c00,$001488,compressed_or_random,compressed_or_random
$002000,$0023aa,graphics_or_audio,graphics_or_audio
$002000,$00a3aa,graphics_or_audio,graphics_or_audio
$002000,$006b01,graphics_or_audio,compressed_or_random
$002000,$14eb01,graphics_or_audio,graphics_or_audio
$002000,$007f29,graphics_or_audio,compressed_or_random
$002000,$007f29,graphics_or_audio,compressed_or_random
$002000,$006800,graphics_or_audio,compressed_or_random
$002000,$000ae8,graphics_or_audio,graphics_or_audio
$002000,$007490,graphics_or_audio,compressed_or_random
$002000,$0072f0,graphics_or_audio,graphics_or_audio
$002400,$007c1f,compressed_or_random,compressed_or_random
$002400,$007be0,compressed_or_random,compressed_or_random
$002400,$007be0,compressed_or_random,compressed_or_random
$002400,$007be1,compressed_or_random,compressed_or_random
$002400,$007bdf,compressed_or_random,compressed_or_random
$002400,$047bdf,compressed_or_random,compressed_or_random
$002400,$00428b,compressed_or_random,compressed_or_random
$002400,$18428b,compressed_or_random,graphics_or_audio
$002400,$0074da,compressed_or_random,compressed_or_random
$002400,$3f74da,compressed_or_random,repetitive_data
$002800,$002b48,compressed_or_random,compressed_or_random
$002800,$003300,compressed_or_random,compressed_or_random
$002800,$05b300,compressed_or_random,text_or_code
$002800,$000f0b,compressed_or_random,graphics_or_audio
$002800,$00487e,compressed_or_random,compressed_or_random
$002800,$00638f,compressed_or_random,compressed_or_random
$002800,$3ee38f,compressed_or_random,graphics_or_audio
$002800,$00031a,compressed_or_random,graphics_or_audio
$002800,$05831a,compressed_or_random,graphics_or_audio
$002800,$00740b,compressed_or_random,compressed_or_random
$002c00,$002a7e,compressed_or_random,compressed_or_random
$002c00,$001000,compressed_or_random,compressed_or_random
$002c00,$002fd8,compressed_or_random,compressed_or_random
$002c00,$332fd8,compressed_or_random,graphics_or_audio
$002c00,$005a48,compressed_or_random,graphics_or_audio
$002c00,$2d5a48,compressed_or_random,compressed_or_random
$002c00,$000b5a,compressed_or_random,graphics_or_audio
$002c00,$058b5a,compressed_or_random,graphics_or_audio
$002c00,$00620b,compressed_or_random,compressed_or_random
$002c00,$10620b,compressed_or_random,graphics_or_audio
$003000,$003e20,compressed_or_random,graphics_or_audio
$003000,$1a3e20,compressed_or_random,graphics_or_audio
$003000,$003d34,compressed_or_random,graphics_or_audio
$003000,$000988,compressed_or_random,graphics_or_audio
$003000,$100988,compressed_or_random,graphics_or_audio
$003000,$003e20,compressed_or_random,graphics_or_audio
$003000,$1a3e20,compressed_or_random,graphics_or_audio
$003000,$003d34,compressed_or_random,graphics_or_audio
$003000,$00098a,compressed_or_random,graphics_or_audio
$003000,$10098a,compressed_or_random,graphics_or_audio
$003400,$004818,graphics_or_audio,compressed_or_random
$003400,$0040c8,graphics_or_audio,compressed_or_random
$003400,$1040c8,graphics_or_audio,graphics_or_audio
$003400,$006490,graphics_or_audio,compressed_or_random
$003400,$003900,graphics_or_audio,graphics_or_audio
$003400,$133900,graphics_or_audio,compressed_or_random
$003400,$000926,graphics_or_audio,graphics_or_audio
$003400,$0048c8,graphics_or_audio,compressed_or_random
$003400,$001000,graphics_or_audio,compressed_or_random
$003400,$003960,graphics_or_audio,graphics_or_audio
$003800,$007ac0,graphics_or_audio,compressed_or_random
$003800,$0010bd,graphics_or_audio,compressed_or_random
$003800,$005a0c,graphics_or_audio,graphics_or_audio
$003800,$105a0c,graphics_or_audio,graphics_or_audio
$003800,$005620,graphics_or_audio,graphics_or_audio
$003800,$215620,graphics_or_audio,structured_data
