Offset,Length,Encoding,Context,Text
$000005,4,ascii,Bank $00 at $8005,@PT\
$000039,4,ascii,Bank $00 at $8039,PTX\
$00006d,4,ascii,Bank $00 at $806d,PTX\
$0000a1,4,ascii,Bank $00 at $80a1,HLPP
$0000d5,4,ascii,Bank $00 at $80d5,HX\\
$000109,4,ascii,Bank $00 at $8109,HX\\
$00013d,4,ascii,Bank $00 at $813d,HX\\
$000171,4,ascii,Bank $00 at $8171,PTX\
$0001a5,4,ascii,Bank $00 at $81a5,PTX\
$0001d9,5,ascii,Bank $00 at $81d9,PTX\ 
$000238,7,ascii,Bank $00 at $8238,"!""#$%@Z"
$000333,3,dq3_jp,Bank $00 at $8333,[CTRL][$90][$c9]
$00039f,5,ascii,Bank $00 at $839f,A&PoW
$00041f,4,ascii,Bank $00 at $841f,A&pf
$0004f4,3,dq3_jp,Bank $00 at $84f4,[CTRL][$8f][$dc]
$000ed6,5,ascii,Bank $00 at $8ed6,JJJJJ
$000ee7,4,ascii,Bank $00 at $8ee7,)|JJ
$001103,4,ascii,Bank $00 at $9103, h(k
$00110a,4,ascii,Bank $00 at $910a, d2H
$0012b1,4,ascii,Bank $00 at $92b1,0&2*
$0012df,4,ascii,Bank $00 at $92df,(Hhk
$001349,6,ascii,Bank $00 at $9349,"(HhkH"""
$00135b,4,ascii,Bank $00 at $935b,(Hhk
$00136b,4,ascii,Bank $00 at $936b,(Hhk
$00137f,4,ascii,Bank $00 at $937f,(Hhk
$001391,5,ascii,Bank $00 at $9391,h(Hhk
$0013bb,7,ascii,Bank $00 at $93bb,0&2&4&6
$0013e4,7,ascii,Bank $00 at $93e4,F6f4f2j
$0013fa,4,ascii,Bank $00 at $93fa,0:8k
$00144a,4,ascii,Bank $00 at $944a,0:8k
$001558,8,ascii,Bank $00 at $9558,%1>JVamx
$001560,18,dq3_jp,Bank $00 at $9560,[CTRL][$8e][$98][$a2][$ab][$b5][$bd][$c5][$cd][$d4][$db][$e1][$e7][$ec][$f1][$f4][$f8][$fb]
$0015d0,5,ascii,Bank $00 at $95d0,3JJJJ
$0015de,5,ascii,Bank $00 at $95de,2JJJJ
$0015ec,5,ascii,Bank $00 at $95ec,1JJJJ
$0015fa,5,ascii,Bank $00 at $95fa,0JJJJ
$001604,4,ascii,Bank $00 at $9604,zh(k
$001b28,4,dq3_item,Bank $00 at $9b28,[$88]BR
$001ce4,3,dq3_jp,Bank $00 at $9ce4,[CTRL][$87]y
$001d48,3,dq3_jp,Bank $00 at $9d48,[CTRL]qC
$002136,4,ascii,Bank $00 at $a136,hhhh
$0021d7,4,ascii,Bank $00 at $a1d7,hhhh
$002210,7,ascii,Bank $00 at $a210,JJJJJH)
$00221e,7,ascii,Bank $00 at $a21e,hJJJJJ)
$0022b7,4,ascii,Bank $00 at $a2b7,(8kz
$002303,4,ascii,Bank $00 at $a303,(8kz
$00241d,5,ascii,Bank $00 at $a41d,(k\#$
$002429,5,ascii,Bank $00 at $a429,JJJJJ
$00268e,4,ascii,Bank $00 at $a68e,~h(k
$002731,4,ascii,Bank $00 at $a731,~h(k
$00288c,5,ascii,Bank $00 at $a88c,}~\t'
$0028ae,5,ascii,Bank $00 at $a8ae,}~\t'
$0028e8,5,ascii,Bank $00 at $a8e8,}~\t'
$0028fc,6,ascii,Bank $00 at $a8fc,(~~\|)
$002a46,4,ascii,Bank $00 at $aa46,}\|)
$002a5f,6,ascii,Bank $00 at $aa5f,(~~\|)
$002e8e,4,ascii,Bank $00 at $ae8e," ""{l"
$002f2b,4,ascii,Bank $00 at $af2b,h B/
$002f84,4,ascii,Bank $00 at $af84,~h(k
$002f92,4,ascii,Bank $00 at $af92,~h(k
